State,Age,Gender,Age Range,"In politics today, do you consider yourself a Democrat, a Republican, or Independent? ","Would you say you are liberal, conservative, or moderate? ","
What is your highest level of education? (High school or less, Some college, College degree, Graduate degree)",Q5OTH1,"
What is your race? (white, black, latino, asian, other)",Q6OTH1,"Do you approve, disapprove, or neither approve nor disapprove of how Donald Trump is handling his job as president? ","
In general, do you think Americans should be more trusting of foreigners, or more suspicious of foreigners?",Do you agree or disagree with the following statement: People should not be so easily offended. (probe: strongly or somewhat?),"
Do you think that people should be free to express their political opinions in the workplace without getting fired?",Do you think the government should place tighter restrictions on who can buy a gun?,"On average, black people are less highly educated than other groups. Do you think this is mostly because of a lack of effort, or mostly because of circumstances beyond their control?",Do you believe Vladimir Putin when he said that he did not interfere with the 2016 presidential election?,"From what you have seen or heard, do you think Black Lives Matter is offensive?","
Do you think the government should place tighter restrictions on who can smoke marijuana?","
Do you think professional athetes should be allowed to sit or kneel during the national anthem as part of a political protest?",Do you think the government should place tighter restrictions on who can have access to pornography?,"Do you live in a city, suburb, or small town?","People from small towns tend to be less highly educated than people from big cities. Do you think this is mostly because of a lack of effort, or mostly because of circumstances beyond their control?","If Jesus were alive today, do you think he would support Donald Trump?"
AZ,65,Female,65+,Not very Strong Republican,Strong Conservative,Graduate degree,,White,,Somewhat Approve,Don't Know/Refused,Strongly Agree,No,No,Don't Know/Refused,Yes,Don't Know/Refused,No,No,Don't Know/Refused,Small Town,Don't Know/Refused,Don't Know/Refused
FL,73,Male,65+,Strong Republican,Strong Conservative,Graduate degree,,White,,Somewhat Approve,Don't Know/Refused,Strongly Agree,Don't Know/Refused,Yes,Lack of effort,No,Yes,No,Yes,No,Small Town,Don't Know/Refused,Yes
UT,87,Male,65+,Strong Republican,Moderate,High school or less,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,Yes,Circumstances beyond their control,No,Yes,Yes,No,Yes,Small Town,Lack of effort,Yes
PA,89,Male,65+,Strong Republican,Strong Conservative,College degree,,White,,Somewhat Approve,More trusting,Somewhat Disagree,Don't Know/Refused,No,Don't Know/Refused,No,Yes,Yes,No,No,Small Town,Don't Know/Refused,No
AZ,79,Male,65+,Strong Republican,Strong Conservative,College degree,,Don't Know/Refused,,Somewhat Approve,Don't Know/Refused,Strongly Agree,Yes,No,Lack of effort,Don't Know/Refused,Yes,Yes,No,Don't Know/Refused,Small Town,Don't Know/Refused,Don't Know/Refused
OH,57,Male,55-64,Strong Republican,Moderate,High school or less,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,No,Yes,Don't Know/Refused,No,No,Small Town,Don't Know/Refused,Yes
LA,60,Female,55-64,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,Don't Know/Refused,Strongly Agree,Yes,No,Don't Know/Refused,No,Yes,No,No,No,Suburb,Circumstances beyond their control,Yes
NM,85,Male,65+,Not very Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,Yes,Lack of effort,Yes,Yes,No,No,Yes,City,Circumstances beyond their control,Yes
VA,51,Male,45-54,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Don't Know/Refused,No,Yes,Yes,No,No,Small Town,Lack of effort,Yes
LA,83,Female,65+,Not very Strong Republican,Moderate,High school or less,,White,,Somewhat Approve,Don't Know/Refused,Somewhat Agree,Yes,Don't Know/Refused,Don't Know/Refused,Yes,Yes,No,Yes,Don't Know/Refused,Small Town,Don't Know/Refused,Yes
OH,55,Female,55-64,Strong Republican,Strong Conservative,High school or less,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,Yes,Don't Know/Refused,No,Yes,No,No,Yes,Suburb,Lack of effort,Yes
MA,76,Male,65+,Strong Republican,Strong Conservative,Graduate degree,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Circumstances beyond their control,No,Yes,No,No,No,Suburb,Circumstances beyond their control,Don't Know/Refused
PA,55,Female,55-64,Strong Republican,Strong Conservative,High school or less,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,Yes,Yes,No,No,Yes,Suburb,Circumstances beyond their control,Yes
PA,82,Male,65+,Not very Strong Republican,Strong Conservative,High school or less,,White,,Strongly Approve,More suspicious,Somewhat Agree,No,Yes,Circumstances beyond their control,Yes,Yes,Yes,No,Yes,Suburb,Circumstances beyond their control,Yes
KY,68,Male,65+,Strong Republican,Moderate,High school or less,,White,,Strongly Disapprove,More trusting,Strongly Agree,Yes,Yes,Circumstances beyond their control,No,Yes,No,Yes,Yes,Suburb,Circumstances beyond their control,No
FL,88,Male,65+,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,Don't Know/Refused,Strongly Agree,Yes,No,Circumstances beyond their control,No,Yes,Yes,No,Yes,Don't Know/Refused,Circumstances beyond their control,Yes
WV,66,Female,65+,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,More suspicious,Somewhat Agree,Yes,Yes,Circumstances beyond their control,Don't Know/Refused,Yes,Don't Know/Refused,No,Yes,Small Town,Circumstances beyond their control,Yes
PA,79,Female,65+,Strong Republican,Strong Conservative,High school or less,,White,,Strongly Approve,More suspicious,Strongly Agree,No,Yes,Lack of effort,Yes,Yes,Yes,No,Yes,Small Town,Circumstances beyond their control,No
IN,55,Male,55-64,Strong Republican,Strong Conservative,Graduate degree,,White,,Strongly Approve,More suspicious,Strongly Agree,No,No,Lack of effort,Yes,Yes,Yes,No,Yes,Don't Know/Refused,Lack of effort,Yes
NY,58,Male,55-64,Strong Republican,Not Very Strong Conservative,College degree,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,Yes,Don't Know/Refused,No,Yes,No,Yes,No,Suburb,Don't Know/Refused,Yes
WV,85,Female,65+,Strong Republican,Strong Conservative,Graduate degree,,White,,Somewhat Approve,More suspicious,Somewhat Agree,Yes,Yes,Circumstances beyond their control,No,Yes,No,No,Yes,Small Town,Don't Know/Refused,Yes
OK,70,Male,65+,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,Don't Know/Refused,Strongly Agree,Yes,Yes,Circumstances beyond their control,Yes,Yes,Don't Know/Refused,Yes,Don't Know/Refused,Suburb,Don't Know/Refused,Yes
IA,61,Female,55-64,Strong Republican,Strong Conservative,College degree,,White,,Somewhat Disapprove,Don't Know/Refused,Strongly Agree,Yes,Yes,Don't Know/Refused,No,Yes,Yes,No,Yes,Small Town,Don't Know/Refused,No
IN,67,Female,65+,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,More suspicious,Somewhat Disagree,Yes,Yes,Lack of effort,Don't Know/Refused,No,Yes,No,Yes,Suburb,Don't Know/Refused,Don't Know/Refused
PA,69,Male,65+,Strong Republican,Moderate,High school or less,,White,,Strongly Approve,More suspicious,Strongly Agree,No,No,Lack of effort,No,Yes,No,No,No,Small Town,Circumstances beyond their control,Yes
PA,64,Male,55-64,Not very Strong Republican,Moderate,College degree,,White,,Neither Approve nor Disapprove,More trusting,Strongly Agree,Yes,Yes,Circumstances beyond their control,No,Yes,Yes,No,Yes,Suburb,Circumstances beyond their control,No
OH,80,Male,65+,Strong Republican,Strong Conservative,High school or less,,White,,Strongly Approve,Don't Know/Refused,Strongly Agree,No,Yes,Lack of effort,No,Yes,Yes,No,Yes,Don't Know/Refused,Lack of effort,Don't Know/Refused
AL,66,Female,65+,Not very Strong Republican,Strong Conservative,Graduate degree,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,Don't Know/Refused,Circumstances beyond their control,No,No,No,Yes,No,Suburb,Circumstances beyond their control,Yes
OR,76,Female,65+,Not very Strong Republican,Don't Know/Refused,Some college,,White,,Somewhat Approve,More trusting,Strongly Agree,No,No,Circumstances beyond their control,Yes,Yes,Don't Know/Refused,No,No,Small Town,Don't Know/Refused,Don't Know/Refused
OR,62,Male,55-64,Strong Republican,Strong Conservative,College degree,,Asian,,Strongly Approve,Don't Know/Refused,Somewhat Agree,Yes,No,Lack of effort,Yes,Yes,No,No,Yes,Suburb,Lack of effort,Yes
CA,86,Male,65+,Strong Republican,Strong Conservative,High school or less,,White,,Somewhat Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,Yes,Yes,Yes,No,Yes,Suburb,Circumstances beyond their control,Yes
CA,86,Don't Know/Refused,65+,Not very Strong Republican,Moderate,College degree,,Don't Know/Refused,,Neither Approve nor Disapprove,More trusting,Somewhat Agree,No,Yes,Circumstances beyond their control,Yes,No,No,Yes,No,Small Town,Lack of effort,No
UT,80,Male,65+,Not very Strong Republican,Strong Conservative,High school or less,,White,,Strongly Approve,Don't Know/Refused,Somewhat Agree,No,No,Circumstances beyond their control,No,No,Yes,No,Yes,Suburb,Lack of effort,Yes
OK,26,Male,25-34,Strong Republican,Don't Know/Refused,High school or less,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,Yes,Yes,No,No,Yes,Small Town,Lack of effort,Don't Know/Refused
NV,30,Other,25-34,Strong Republican,Strong Conservative,Some college,,Don't Know/Refused,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,Yes,Yes,No,Don't Know/Refused,Yes,City,Circumstances beyond their control,Yes
UT,69,Male,65+,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,More trusting,Somewhat Agree,No,No,Don't Know/Refused,Don't Know/Refused,Yes,Yes,No,Yes,City,Don't Know/Refused,Yes
CA,68,Male,65+,Not very Strong Republican,Strong Conservative,Graduate degree,,White,,Strongly Disapprove,More trusting,Somewhat Agree,Yes,Yes,Circumstances beyond their control,No,Yes,Yes,No,Yes,City,Circumstances beyond their control,No
NV,48,Female,45-54,Strong Republican,Strong Conservative,College degree,,White,,Somewhat Approve,More trusting,Strongly Agree,Yes,No,Circumstances beyond their control,No,Yes,Yes,Yes,Yes,Small Town,Circumstances beyond their control,Yes
CA,84,Male,65+,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,More trusting,Strongly Agree,Yes,No,Circumstances beyond their control,No,No,Yes,Yes,No,Small Town,Circumstances beyond their control,Yes
AZ,18,Female,18-24,Not very Strong Republican,Moderate,Some college,,White,,Somewhat Approve,More trusting,Strongly Agree,Yes,No,Circumstances beyond their control,Yes,Yes,Yes,Yes,Yes,Suburb,Circumstances beyond their control,Yes
UT,39,Male,35-44,Not very Strong Republican,Moderate,College degree,,White,,Somewhat Disapprove,More trusting,Strongly Agree,Yes,Yes,Circumstances beyond their control,Don't Know/Refused,No,Yes,Yes,Yes,Small Town,Circumstances beyond their control,No
CO,63,Male,55-64,Strong Republican,Strong Conservative,High school or less,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,Yes,Lack of effort,Yes,Yes,No,No,No,City,Circumstances beyond their control,Yes
AZ,37,Female,35-44,Not very Strong Republican,Moderate,College degree,,White,,Neither Approve nor Disapprove,More trusting,Strongly Agree,Yes,Yes,Don't Know/Refused,No,No,No,Yes,No,City,Don't Know/Refused,No
AZ,44,Female,35-44,Not very Strong Republican,Not Very Strong Conservative,Some college,,White,,Somewhat Disapprove,Don't Know/Refused,Strongly Agree,Yes,Yes,Lack of effort,Yes,No,No,No,No,City,Circumstances beyond their control,Yes
CA,59,Male,55-64,Not very Strong Republican,Moderate,Some college,,White,,Neither Approve nor Disapprove,More trusting,Somewhat Agree,Yes,Yes,Circumstances beyond their control,No,No,No,Yes,No,City,Circumstances beyond their control,No
CA,81,Female,65+,Not very Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Circumstances beyond their control,No,No,No,Yes,No,Small Town,Circumstances beyond their control,Yes
OR,65,Male,65+,Strong Republican,Not Very Strong Conservative,College degree,,White,,Somewhat Approve,More trusting,Somewhat Agree,Yes,Yes,Circumstances beyond their control,No,No,No,Yes,Yes,Suburb,Circumstances beyond their control,Yes
CA,32,Female,25-34,Strong Republican,Strong Conservative,Graduate degree,,White,,Somewhat Disapprove,More suspicious,Strongly Agree,Yes,No,Circumstances beyond their control,Yes,No,No,Yes,Yes,Suburb,Circumstances beyond their control,Don't Know/Refused
CO,50,Female,45-54,Strong Republican,Strong Conservative,Graduate degree,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,Yes,Lack of effort,No,No,No,No,Yes,Small Town,Circumstances beyond their control,Don't Know/Refused
CO,41,Male,35-44,Strong Republican,Strong Conservative,College degree,,White,,Somewhat Disapprove,More trusting,Strongly Agree,Yes,No,Circumstances beyond their control,No,Yes,Yes,Yes,Don't Know/Refused,City,Don't Know/Refused,No
NV,28,Male,25-34,Strong Republican,Not Very Strong Conservative,College degree,,White,,Strongly Approve,More suspicious,Strongly Agree,No,No,Lack of effort,Yes,Yes,No,No,No,Suburb,Circumstances beyond their control,Don't Know/Refused
UT,61,Male,55-64,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,Don't Know/Refused,Strongly Agree,No,No,Lack of effort,Yes,Yes,Yes,No,Yes,City,Circumstances beyond their control,Don't Know/Refused
NV,48,Female,45-54,Not very Strong Republican,Strong Liberal,College degree,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,Yes,Lack of effort,No,No,Yes,No,Yes,City,Circumstances beyond their control,Yes
AZ,74,Male,65+,Strong Republican,Moderate,Some college,,White,,Strongly Approve,Don't Know/Refused,Strongly Agree,Yes,No,Don't Know/Refused,No,Yes,No,No,Yes,Suburb,Lack of effort,Yes
CA,59,Female,55-64,Strong Republican,Strong Liberal,College degree,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Circumstances beyond their control,No,No,Yes,No,Yes,Small Town,Lack of effort,No
CA,29,Male,25-34,Strong Republican,Strong Conservative,College degree,,Latino,,Strongly Approve,More trusting,Strongly Agree,Yes,Yes,Circumstances beyond their control,Yes,Yes,No,No,Yes,City,Circumstances beyond their control,Yes
CA,55,Male,55-64,Strong Republican,Don't Know/Refused,High school or less,,Don't Know/Refused,,Strongly Approve,More suspicious,Somewhat Agree,No,No,Lack of effort,No,Yes,No,No,No,Small Town,Lack of effort,Yes
CA,30,Male,25-34,Strong Republican,Strong Conservative,High school or less,,Black,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Don't Know/Refused,Yes,Yes,Yes,No,No,Small Town,Circumstances beyond their control,Don't Know/Refused
CA,61,Female,55-64,Strong Republican,Strong Conservative,Some college,,White,,Somewhat Disapprove,Don't Know/Refused,Strongly Agree,Yes,No,Don't Know/Refused,No,Yes,Yes,No,Yes,City,Don't Know/Refused,Yes
CA,28,Male,25-34,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,Don't Know/Refused,Strongly Agree,No,Yes,Don't Know/Refused,Don't Know/Refused,Yes,No,No,Yes,Small Town,Lack of effort,Don't Know/Refused
CA,21,Female,18-24,Not very Strong Republican,Moderate,Some college,,Latino,,Don't Know/Refused,More trusting,Somewhat Agree,Yes,Yes,Circumstances beyond their control,Don't Know/Refused,No,No,Yes,Yes,City,Circumstances beyond their control,No
OR,65,Female,65+,Not very Strong Republican,Not Very Strong Conservative,Some college,,White,,Somewhat Approve,More suspicious,Strongly Agree,No,Yes,Circumstances beyond their control,No,Don't Know/Refused,No,Yes,Yes,City,Circumstances beyond their control,No
OR,51,Male,45-54,Strong Republican,Strong Conservative,Graduate degree,,White,,Somewhat Approve,More trusting,Strongly Agree,Yes,No,Circumstances beyond their control,No,Yes,No,Yes,No,Suburb,Circumstances beyond their control,No
CA,46,Female,45-54,Strong Republican,Not Very Strong Conservative,Some college,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Don't Know/Refused,No,Yes,No,No,No,Small Town,Circumstances beyond their control,Yes
FL,45,Male,45-54,Strong Republican,Strong Conservative,College degree,,Asian,,Strongly Approve,More suspicious,Strongly Agree,No,No,Circumstances beyond their control,Don't Know/Refused,Yes,No,No,Yes,Small Town,Don't Know/Refused,Yes
NV,62,Female,55-64,Strong Republican,Not very strong Liberal,College degree,,Asian,,Strongly Approve,More suspicious,Somewhat Disagree,No,Yes,Don't Know/Refused,No,Don't Know/Refused,Yes,Don't Know/Refused,Yes,City,Circumstances beyond their control,Yes
CA,64,Male,55-64,Strong Republican,Strong Conservative,Some college,,Latino,,Strongly Approve,Don't Know/Refused,Somewhat Agree,No,No,Circumstances beyond their control,No,Yes,Yes,No,Yes,Small Town,Don't Know/Refused,Yes
CA,68,Male,65+,Strong Republican,Strong Conservative,High school or less,,White,,Strongly Approve,More trusting,Strongly Agree,Yes,No,Circumstances beyond their control,Yes,Don't Know/Refused,Yes,No,Yes,City,Circumstances beyond their control,Yes
NC,66,Male,65+,Strong Republican,Not Very Strong Conservative,College degree,,White,,Somewhat Disapprove,More suspicious,Somewhat Agree,Yes,Yes,Circumstances beyond their control,Don't Know/Refused,Yes,Yes,Yes,Yes,Small Town,Circumstances beyond their control,No
OH,49,Female,45-54,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Circumstances beyond their control,No,Don't Know/Refused,Yes,Don't Know/Refused,Yes,Suburb,Circumstances beyond their control,Yes
NC,37,Male,35-44,Strong Republican,Strong Conservative,Graduate degree,,White,,Somewhat Disapprove,More trusting,Strongly Agree,No,No,Lack of effort,Yes,Yes,Yes,No,Yes,Suburb,Lack of effort,Yes
FL,29,Female,25-34,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,Don't Know/Refused,Strongly Agree,No,No,Lack of effort,Don't Know/Refused,Yes,No,No,Yes,Small Town,Lack of effort,Yes
DE,54,Male,45-54,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,More trusting,Strongly Agree,Yes,Yes,Lack of effort,Yes,Yes,Yes,Yes,Yes,Small Town,Lack of effort,Yes
AZ,63,Male,55-64,Strong Republican,Strong Conservative,Graduate degree,,White,,Strongly Approve,More suspicious,Strongly Agree,No,Yes,Circumstances beyond their control,Yes,Yes,No,No,Yes,Suburb,Circumstances beyond their control,Yes
MD,40,Female,35-44,Strong Republican,Moderate,Some college,,White,,Somewhat Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,Don't Know/Refused,Yes,No,No,No,Small Town,Lack of effort,Yes
NC,62,Male,55-64,Strong Republican,Strong Conservative,Some college,,White,,Somewhat Approve,More suspicious,Strongly Agree,No,No,Lack of effort,Don't Know/Refused,No,Yes,No,No,Small Town,Don't Know/Refused,No
NH,41,Male,35-44,Not very Strong Republican,Moderate,Graduate degree,,White,,Neither Approve nor Disapprove,More trusting,Somewhat Agree,No,Yes,Circumstances beyond their control,No,No,No,Yes,No,City,Circumstances beyond their control,Don't Know/Refused
OH,34,Male,25-34,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,Don't Know/Refused,Strongly Agree,Yes,No,Circumstances beyond their control,No,Yes,No,No,No,Suburb,Circumstances beyond their control,Yes
DE,22,Male,18-24,Not very Strong Republican,Moderate,Some college,,White,,Somewhat Disapprove,More trusting,Strongly Agree,Yes,Yes,Lack of effort,No,Yes,No,No,No,Suburb,Lack of effort,No
KY,33,Female,25-34,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,More suspicious,Strongly Agree,No,No,Circumstances beyond their control,No,Yes,Yes,No,No,Small Town,Circumstances beyond their control,Yes
