Gender,Age,Age Range ,"In politics today, do you consider yourself a Democrat, a Republican, or Independent?","Would you say you are liberal, conservative, or moderate?","What is your highest level of education? (High school or less, Some college, College degree, Graduate degree)",Other,"
What is your race? (white, black, latino, asian, other)",Other,"Do you approve, disapprove, or neither approve nor disapprove of how Donald Trump is handling his job as president? (for ""approve"" or ""disapprove,"" probe: strongly or somewhat?)",Would you consider yourself pro-life or pro-choice?,"Are the people you interact with on a day-to-day basis, both in person and on social media, mostly conservatives, a mix of conservatives and liberals, or mostly liberals?",What's the first word that comes to your mind when you think of Donald Trump?,Other,Do you support or oppose Trump's plan to build a wall between Mexico and the United States?,"A number of women have accused Donald Trump of sexual misconduct. How likely is it that these allegations are true: very likely, somewhat likely, or not at all likely?","Has unemployment gone up, gone down, or stayed the same since Donald Trump became president?",True or false: Donald Trump has always publically opposed abortion.,How many times has Donald Trump been married?,Would you describe Donald Trump as a humble person?,"Donald Trump is 6 feet, 3 inches tall. If you had to guess, how much do you think he weighs?","According to reports of his recent medical exam, Donald Trump weighs 239 pounds. Do you think that number is too high, too low, or accurate?","If you were a Mexican trying to illegally enter the United States, do you think you could probably find a way to get past Trump's border wall?",Do you plan on voting for Donald Trump in 2020?,Q21
Male,79,65+,Independent,Conservative,Some college,,White,,Strongly Approve,Pro-life,Mostly Conservatives,President,,Support,Somewhat Likely,Gone down,FALSE,3,Yes,235,Accurate,No,Yes,No
Male,43,35-44,Independent,Conservative,High school or less,,White,,Strongly Approve,Pro-life,Mostly Liberals,Successful,,Support,Somewhat Likely,Gone down,FALSE,3,No,270,Too low,Yes,Yes,No
Female,54,45-54,Independent,Conservative,High school or less,,White,,Somewhat Approve,Pro-Choice,Mix of conservatives and liberals,Wow,,Oppose,Somewhat Likely,Gone down,TRUE,3,No,200,Accurate,Yes,DK/REF,
Female,29,25-34,Republican,Conservative,Graduate degree,,Other,American Indian,Strongly Approve,Pro-Choice,Mostly Conservatives,Making America great again,,Support,Not at all likely,Gone down,FALSE,3,No,275,DK/REF,DK/REF,Yes,DK/REF
Female,52,45-54,Independent,Moderate,College degree,,White,,Strongly Disapprove,Pro-life,Mix of conservatives and liberals,Crazy,,Oppose,Very Likely,Gone down,FALSE,3,No,240,Accurate,Yes,No,
Male,53,45-54,Independent,Moderate,Some college,,White,,Somewhat Approve,Pro-life,Mix of conservatives and liberals,Assertive,,Support,Not at all likely,Gone down,TRUE,3,No,265,Too low,Yes,DK/REF,
Female,50,45-54,Independent,Moderate,College degree,,White,,Strongly Approve,Pro-Choice,Mix of conservatives and liberals,President,,Support,Not at all likely,Stayed the same,DK/REF,2,DK/REF,230,Accurate,No,Yes,Yes
Female,33,25-34,Independent,Moderate,High school or less,,White,,Neither approve nor disapprove,Pro-Choice,Mix of conservatives and liberals,,DK/REF,Support,Somewhat Likely,Stayed the same,TRUE,2,Yes,140,Accurate,Yes,No,
Female,37,35-44,Democrat,Moderate,Graduate degree,,Asian,,Somewhat Disapprove,Pro-life,Mix of conservatives and liberals,Unfit,,Oppose,Very Likely,DK/REF,DK/REF,999,No,250,Accurate,Yes,No,
Male,18,18-24,Democrat,Moderate,Some college,,Black,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Ridiculous,,Oppose,Somewhat Likely,Gone up,TRUE,3,No,230,Accurate,No,No,
Male,52,45-54,Independent,Moderate,College degree,,White,,Strongly Approve,Pro-life,Mix of conservatives and liberals,It would be Clinton. She is a crook.,,Support,DK/REF,Gone down,TRUE,3,No,239,Accurate,No,Yes,No
Male,51,45-54,Independent,Moderate,High school or less,,White,,DK/REF,Pro-life,Mostly Liberals,Bad idea,,Oppose,Not at all likely,Stayed the same,FALSE,999,No,180,Too high,Yes,No,
Male,50,45-54,Independent,Liberal,College degree,,DK/REF,,Strongly Disapprove,Pro-life,Mix of conservatives and liberals,Liar,,Oppose,Very Likely,Gone down,TRUE,3,No,225,Accurate,Yes,DK/REF,
Female,45,45-54,Democrat,Conservative,High school or less,,Black,,Somewhat Disapprove,Pro-life,DK/REF,No good,,Oppose,DK/REF,Stayed the same,FALSE,999,No,160,Accurate,Yes,No,
Female,63,55-64,Republican,Moderate,Graduate degree,,White,,Somewhat Approve,Pro-life,Mix of conservatives and liberals,President,,Oppose,DK/REF,Gone down,DK/REF,2,No,250,Accurate,Yes,No,
Female,74,65+,Republican,Conservative,College degree,,White,,Somewhat Approve,Pro-life,Mix of conservatives and liberals,Unusual,,DK/REF,Not at all likely,Gone down,DK/REF,3,No,200,Accurate,Yes,Yes,No
Male,46,45-54,Independent,DK/REF,Graduate degree,,DK/REF,,Strongly Disapprove,Pro-life,Mostly Conservatives,Imbecile,,Oppose,Very Likely,Gone down,FALSE,3,No,250,Accurate,Yes,No,
Female,53,45-54,Republican,Conservative,Graduate degree,,White,,Strongly Approve,Pro-life,Mostly Conservatives,President,,Support,DK/REF,Gone down,TRUE,3,No,999,DK/REF,DK/REF,DK/REF,
Male,25,25-34,Democrat,Liberal,College degree,,White,,Strongly Disapprove,Pro-Choice,Mostly Liberals,Incompetent,,Oppose,Somewhat Likely,Gone up,TRUE,4,No,240,Accurate,Yes,No,
Male,22,18-24,Independent,Moderate,Some college,,White,,Neither approve nor disapprove,Pro-life,Mix of conservatives and liberals,Funny,,Oppose,Somewhat Likely,Gone down,FALSE,2,No,230,Accurate,Yes,No,
Male,80,65+,Republican,Moderate,High school or less,,White,,Strongly Approve,Pro-Choice,Mix of conservatives and liberals,I think that he is doing the right thing.,,Support,Not at all likely,Gone up,DK/REF,3,No,999,DK/REF,Yes,Yes,No
Male,49,45-54,DK/REF,Moderate,Graduate degree,,White,,Somewhat Approve,Pro-life,Mix of conservatives and liberals,Millionaire,,Support,Somewhat Likely,Gone down,DK/REF,3,No,225,Accurate,Yes,Yes,DK/REF
Female,52,45-54,Democrat,Liberal,College degree,,Black,,Strongly Disapprove,Pro-Choice,Mostly Liberals,Selfish,,Oppose,Very Likely,Gone down,FALSE,3,No,270,Too low,Yes,No,
Male,35,35-44,Independent,Moderate,Some college,,DK/REF,,DK/REF,Pro-Choice,Mix of conservatives and liberals,,DK/REF,DK/REF,Somewhat Likely,Stayed the same,DK/REF,3,No,999,DK/REF,DK/REF,No,
Male,74,65+,Independent,Liberal,Some college,,DK/REF,,Strongly Disapprove,Pro-Choice,Mostly Liberals,Asshole,,Oppose,Very Likely,Stayed the same,FALSE,3,No,255,Too low,Yes,No,
Male,58,55-64,Democrat,Conservative,High school or less,,Black,,Somewhat Disapprove,Pro-life,Mostly Conservatives,,DK/REF,Support,DK/REF,DK/REF,TRUE,2,DK/REF,662,Too low,DK/REF,No,
Male,25,25-34,Independent,Liberal,College degree,,White,,Strongly Disapprove,DK/REF,Mix of conservatives and liberals,,DK/REF,Oppose,DK/REF,DK/REF,FALSE,3,No,270,Too low,Yes,No,
Female,41,35-44,Democrat,Liberal,College degree,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Idiot,,Oppose,Very Likely,Stayed the same,FALSE,3,No,250,Too low,Yes,No,
Male,51,45-54,Independent,Conservative,High school or less,,White,,DK/REF,DK/REF,Mostly Conservatives,President,,Oppose,DK/REF,Stayed the same,TRUE,2,No,180,Accurate,No,DK/REF,
Female,63,55-64,Independent,Moderate,Graduate degree,,White,,Strongly Disapprove,Pro-Choice,Mostly Conservatives,Idiot,,Oppose,Very Likely,Stayed the same,FALSE,3,No,250,Too low,Yes,No,
Male,72,65+,Independent,Liberal,Some college,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Idiot,,Oppose,Very Likely,Gone down,TRUE,3,No,235,Accurate,Yes,No,
Male,74,65+,Democrat,Liberal,Graduate degree,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Inept,,Oppose,Very Likely,Gone down,TRUE,3,No,260,Too low,Yes,No,
Female,74,65+,Democrat,DK/REF,College degree,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Arrogantly stupid,,Oppose,Somewhat Likely,Stayed the same,TRUE,3,No,280,Too low,Yes,No,
Female,67,65+,Independent,Liberal,Some college,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Crazy,,Oppose,Very Likely,Gone down,DK/REF,4,No,220,Accurate,Yes,No,
Female,82,65+,Republican,Conservative,High school or less,,White,,Strongly Approve,Pro-life,Mostly Conservatives,President,,Support,Very Likely,DK/REF,DK/REF,4,No,265,Accurate,Yes,DK/REF,
Female,96,65+,Republican,Conservative,High school or less,,White,,Somewhat Approve,Pro-life,Mostly Conservatives,Hardworking,,Support,Not at all likely,Gone up,DK/REF,3,No,160,Too high,Yes,Yes,DK/REF
Male,82,65+,Independent,Moderate,Graduate degree,,White,,DK/REF,Pro-Choice,Mix of conservatives and liberals,,DK/REF,DK/REF,Very Likely,Stayed the same,FALSE,999,Yes,200,Accurate,Yes,DK/REF,
Male,92,65+,DK/REF,Conservative,College degree,,White,,Neither approve nor disapprove,Pro-Choice,Mix of conservatives and liberals,Nothing special,,DK/REF,DK/REF,DK/REF,DK/REF,5,DK/REF,999,DK/REF,Yes,Yes,No
Male,61,55-64,Republican,Conservative,Graduate degree,,White,,Somewhat Approve,Pro-Choice,Mostly Liberals,New Yorker,,Support,Somewhat Likely,Gone down,TRUE,3,No,270,Too low,Yes,Yes,No
Female,92,65+,Republican,Conservative,College degree,,White,,Strongly Approve,Pro-life,Mostly Conservatives,Wealthy,,DK/REF,Not at all likely,Gone down,TRUE,3,No,200,Accurate,Yes,Yes,Yes
Female,77,65+,Democrat,Moderate,High school or less,,Black,,Strongly Disapprove,DK/REF,DK/REF,He seems to be a joker. He says many things.,,Oppose,Somewhat Likely,Stayed the same,DK/REF,3,No,270,Too low,Yes,No,
Female,56,55-64,Republican,Moderate,High school or less,,White,,Strongly Approve,Pro-life,Mix of conservatives and liberals,Fights,,Support,Somewhat Likely,Gone down,FALSE,2,Yes,225,Accurate,No,Yes,No
Female,75,65+,Republican,Conservative,Some college,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Volatile,,Oppose,Somewhat Likely,Stayed the same,FALSE,3,No,175,Too high,Yes,No,
Female,78,65+,Republican,Moderate,High school or less,,White,,Neither approve nor disapprove,DK/REF,DK/REF,President,,Support,DK/REF,Gone up,DK/REF,3,No,240,Accurate,Yes,DK/REF,
Female,86,65+,Republican,Conservative,College degree,,White,,Somewhat Approve,Pro-life,Mostly Conservatives,,DK/REF,Support,Somewhat Likely,Gone up,FALSE,3,No,200,Accurate,No,Yes,No
Female,69,65+,Democrat,Liberal,High school or less,,Black,,Strongly Disapprove,DK/REF,Mostly Liberals,He is uncouth and not intelligent. He does not know what he is doing.,,Oppose,Very Likely,Gone down,DK/REF,3,No,235,DK/REF,DK/REF,No,
Male,59,55-64,Independent,Moderate,High school or less,,White,,Somewhat Approve,Pro-life,Mostly Liberals,Texting,,Support,Very Likely,Stayed the same,TRUE,2,No,250,Accurate,Yes,No,
Female,70,65+,Republican,Liberal,College degree,,White,,Strongly Approve,Pro-life,Mostly Conservatives,Good President,,Support,DK/REF,Gone down,TRUE,3,No,225,Too high,DK/REF,Yes,Yes
Female,52,45-54,Republican,Moderate,Graduate degree,,White,,Strongly Approve,Pro-Choice,Mix of conservatives and liberals,Businessman,,Support,DK/REF,Gone down,DK/REF,3,No,220,Accurate,Yes,Yes,DK/REF
Male,71,65+,Republican,Moderate,College degree,,White,,Strongly Approve,Pro-life,Mix of conservatives and liberals,Dedicated,,Support,Somewhat Likely,Gone up,DK/REF,2,Yes,999,DK/REF,Yes,Yes,No
Male,60,55-64,Democrat,Moderate,High school or less,,White,,Somewhat Approve,Pro-life,Mostly Liberals,Try hard,,Oppose,Not at all likely,Gone down,TRUE,2,Yes,250,DK/REF,Yes,DK/REF,
Female,67,65+,Republican,Conservative,High school or less,,White,,Strongly Disapprove,Pro-life,Mostly Conservatives,Rude,,Oppose,DK/REF,Gone up,TRUE,4,No,200,Accurate,Yes,No,
Female,75,65+,Democrat,Moderate,College degree,,Black,,Strongly Disapprove,DK/REF,Mix of conservatives and liberals,A crook,,Oppose,Very Likely,Gone down,FALSE,3,No,275,DK/REF,No,No,
Female,90,65+,Republican,Moderate,High school or less,,White,,Somewhat Approve,Pro-Choice,DK/REF,,DK/REF,DK/REF,Somewhat Likely,Stayed the same,DK/REF,2,No,999,Accurate,Yes,No,
Male,85,65+,Republican,Moderate,Graduate degree,,White,,Strongly Approve,Pro-life,Mostly Liberals,Businessman,,Support,Somewhat Likely,Gone down,FALSE,2,No,190,Too high,Yes,Yes,DK/REF
Male,70,65+,Independent,Moderate,College degree,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Crazy,,Oppose,Somewhat Likely,Stayed the same,DK/REF,3,No,260,Accurate,Yes,No,
Male,72,65+,Republican,Conservative,High school or less,,White,,Strongly Approve,Pro-life,Mix of conservatives and liberals,Outstanding job,,Support,Somewhat Likely,Gone down,DK/REF,2,No,999,Accurate,Yes,Yes,DK/REF
Female,70,65+,Democrat,Moderate,High school or less,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Liar,,Oppose,Very Likely,Gone up,FALSE,3,No,250,Too low,Yes,No,
Male,55,55-64,Republican,Conservative,DK/REF,,White,,Strongly Approve,Pro-life,Mix of conservatives and liberals,,DK/REF,Support,Somewhat Likely,Gone down,TRUE,2,Yes,999,Accurate,No,Yes,No
Female,67,65+,Independent,DK/REF,High school or less,,White,,Strongly Disapprove,Pro-Choice,Mostly Liberals,Asshole,,Oppose,Very Likely,Gone up,DK/REF,999,No,200,Accurate,Yes,No,
Female,83,65+,Democrat,Moderate,High school or less,,White,,Neither approve nor disapprove,Pro-Choice,DK/REF,Okay,,DK/REF,Somewhat Likely,DK/REF,DK/REF,2,No,200,Accurate,DK/REF,DK/REF,
Female,81,65+,Democrat,Moderate,High school or less,,White,,Strongly Disapprove,DK/REF,Mostly Conservatives,Trash,,Oppose,Very Likely,Stayed the same,DK/REF,999,No,200,Accurate,No,No,
Female,71,65+,Democrat,DK/REF,High school or less,,White,,DK/REF,DK/REF,DK/REF,,DK/REF,Oppose,DK/REF,Stayed the same,DK/REF,999,DK/REF,999,Accurate,No,No,
Female,67,65+,Independent,Moderate,Some college,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Ridiculous,,Oppose,Very Likely,Gone down,FALSE,3,No,235,Accurate,Yes,No,
Female,56,55-64,Republican,Moderate,Some college,,White,,Strongly Disapprove,Pro-life,Mix of conservatives and liberals,Gruff,,Support,Somewhat Likely,DK/REF,TRUE,3,No,180,Accurate,Yes,DK/REF,
Female,95,65+,Republican,Conservative,College degree,,White,,Strongly Approve,DK/REF,Mix of conservatives and liberals,He is trying.,,Support,Not at all likely,Stayed the same,DK/REF,999,DK/REF,999,Too high,DK/REF,Yes,Yes
Female,41,35-44,Independent,Moderate,Some college,,Latino,,Strongly Disapprove,Pro-Choice,Mostly Conservatives,Uneducated,,Oppose,Very Likely,Stayed the same,TRUE,3,No,230,Accurate,No,No,
Male,30,25-34,Democrat,Moderate,College degree,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Impeached,,Oppose,Very Likely,DK/REF,FALSE,3,No,290,DK/REF,Yes,No,
Female,44,35-44,Independent,Moderate,College degree,,White,,Somewhat Disapprove,Pro-life,Mostly Liberals,Arrogant,,Oppose,Somewhat Likely,DK/REF,DK/REF,2,No,275,Accurate,Yes,No,
Female,60,55-64,Republican,Conservative,College degree,,White,,Strongly Approve,Pro-Choice,Mostly Liberals,Bold,,Support,Not at all likely,Gone down,TRUE,3,No,200,DK/REF,Yes,Yes,Yes
Male,24,18-24,Independent,Moderate,High school or less,,White,,Somewhat Disapprove,Pro-Choice,Mix of conservatives and liberals,Businessman,,Oppose,Somewhat Likely,Stayed the same,FALSE,3,No,239,Too low,Yes,Yes,No
Male,75,65+,DK/REF,Liberal,High school or less,,White,,Strongly Disapprove,Pro-life,DK/REF,Assassinate,,Oppose,Somewhat Likely,Gone down,TRUE,999,No,225,Accurate,Yes,No,
Female,81,65+,Independent,Moderate,Some college,,White,,Somewhat Approve,Pro-Choice,Mix of conservatives and liberals,He is trying to do a good job.,,Support,Not at all likely,Gone down,DK/REF,3,No,999,DK/REF,Yes,DK/REF,
Female,40,35-44,Democrat,Liberal,College degree,,White,,Strongly Disapprove,Pro-Choice,Mostly Liberals,,DK/REF,Oppose,Very Likely,Stayed the same,FALSE,999,No,999,DK/REF,Yes,No,
Female,50,45-54,Independent,Moderate,High school or less,,White,,Strongly Approve,DK/REF,DK/REF,,DK/REF,DK/REF,DK/REF,Gone down,DK/REF,999,Yes,200,DK/REF,Yes,Yes,Yes
Female,25,25-34,Democrat,Moderate,College degree,,Asian,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Loud,,Oppose,Not at all likely,Stayed the same,TRUE,1,No,215,Accurate,Yes,No,
Female,39,35-44,Democrat,Moderate,College degree,,Latino,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Ignorant,,Oppose,Very Likely,Stayed the same,TRUE,3,No,220,Accurate,Yes,No,
Male,87,65+,Democrat,Liberal,Graduate degree,,White,,Strongly Disapprove,DK/REF,Mix of conservatives and liberals,Incompetent,,Oppose,Very Likely,Gone down,FALSE,3,No,236,Too low,Yes,No,
Male,50,45-54,Republican,Moderate,Some college,,White,,Strongly Approve,DK/REF,Mix of conservatives and liberals,Dumbass,,Support,Very Likely,Gone up,TRUE,3,Yes,220,Accurate,Yes,Yes,No
Female,84,65+,Independent,Moderate,College degree,,White,,Strongly Disapprove,Pro-Choice,Mostly Liberals,Incompetent,,Oppose,DK/REF,DK/REF,DK/REF,999,No,999,DK/REF,Yes,No,
Male,45,45-54,Republican,Conservative,Some college,,White,,Somewhat Approve,Pro-Choice,DK/REF,,DK/REF,Support,Somewhat Likely,Stayed the same,DK/REF,999,No,230,Accurate,No,Yes,Yes
Male,59,55-64,Republican,Conservative,College degree,,White,,Strongly Approve,Pro-life,Mostly Conservatives,Great,,Support,DK/REF,Gone down,DK/REF,2,No,240,Accurate,No,Yes,No
Male,70,65+,Independent,Conservative,High school or less,,White,,Strongly Approve,Pro-life,Mix of conservatives and liberals,He is ballsy. He is not influenced by anyone else's beliefs. He does what he feels is best for the United States.,,Support,Not at all likely,Gone down,FALSE,2,No,999,DK/REF,No,Yes,DK/REF
Male,80,65+,Republican,Conservative,Graduate degree,,White,,Neither approve nor disapprove,Pro-life,Mix of conservatives and liberals,,DK/REF,Oppose,DK/REF,Gone down,DK/REF,999,Yes,180,DK/REF,Yes,No,
Male,84,65+,Independent,Moderate,Graduate degree,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,He is out of his mind.,,Oppose,Somewhat Likely,Gone down,TRUE,3,No,220,Accurate,Yes,No,
Male,63,55-64,Independent,Moderate,Some college,,White,,Strongly Disapprove,Pro-life,Mix of conservatives and liberals,Inappropriate,,Oppose,Somewhat Likely,DK/REF,TRUE,3,No,230,Accurate,Yes,No,
Female,81,65+,Independent,Conservative,Some college,,White,,Strongly Disapprove,Pro-Choice,Mostly Conservatives,Idiot,,Oppose,Somewhat Likely,Stayed the same,TRUE,999,No,999,Accurate,Yes,No,
Male,65,65+,Democrat,Moderate,Graduate degree,,White,,Somewhat Disapprove,Pro-Choice,Mix of conservatives and liberals,Help,,Oppose,Somewhat Likely,DK/REF,TRUE,3,No,270,Too low,Yes,No,
Female,42,35-44,Democrat,Conservative,High school or less,,Black,,Strongly Approve,DK/REF,Mostly Liberals,Hair,,Oppose,Very Likely,Gone up,FALSE,999,Yes,290,Too high,No,DK/REF,
Female,40,35-44,Independent,Liberal,Graduate degree,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Idiot,,Oppose,Somewhat Likely,Stayed the same,FALSE,3,No,250,Accurate,Yes,No,
Female,80,65+,Democrat,Moderate,Some college,,White,,Somewhat Disapprove,Pro-life,Mix of conservatives and liberals,Arrogant,,Oppose,Very Likely,Gone down,FALSE,3,No,250,Accurate,Yes,No,
Female,71,65+,Democrat,Moderate,Some college,,Black,,Strongly Disapprove,Pro-Choice,Mostly Conservatives,He is a liar because he tells a lot of lies.,,Oppose,Very Likely,Stayed the same,TRUE,3,No,230,Too high,Yes,No,
Female,63,55-64,Democrat,Liberal,Graduate degree,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Unqualified,,Oppose,Very Likely,Gone down,FALSE,3,No,275,Too low,Yes,No,
Male,64,55-64,Democrat,Liberal,Some college,,White,,Neither approve nor disapprove,Pro-Choice,Mix of conservatives and liberals,,DK/REF,Oppose,Somewhat Likely,Gone up,FALSE,3,No,290,Too low,No,No,
Male,62,55-64,Republican,Conservative,Some college,,White,,Somewhat Approve,Pro-life,Mix of conservatives and liberals,Success,,Support,DK/REF,Gone down,TRUE,999,No,230,Too high,DK/REF,Yes,No
Male,83,65+,Independent,Liberal,Graduate degree,,White,,Strongly Disapprove,Pro-Choice,Mostly Liberals,Dilettante,,Oppose,Very Likely,Stayed the same,FALSE,3,No,200,Too low,Yes,No,
Male,77,65+,Democrat,Moderate,College degree,,DK/REF,,Neither approve nor disapprove,Pro-life,Mostly Liberals,Idiot,,DK/REF,Very Likely,Stayed the same,DK/REF,999,No,250,Too low,Yes,No,
Female,69,65+,Republican,Moderate,Graduate degree,,White,,Neither approve nor disapprove,Pro-Choice,Mostly Conservatives,Yuck,,Oppose,DK/REF,Gone up,TRUE,999,No,200,Accurate,Yes,No,
Male,79,65+,DK/REF,Conservative,Graduate degree,,White,,Neither approve nor disapprove,Pro-life,Mix of conservatives and liberals,He is a Republican. I don't like Republicans nor Democrats.,,Support,Somewhat Likely,Gone down,FALSE,3,No,999,Too high,Yes,No,
Female,63,55-64,Independent,Moderate,High school or less,,White,,Strongly Approve,Pro-life,Mix of conservatives and liberals,President,,Support,Somewhat Likely,Stayed the same,DK/REF,999,No,250,Too high,Yes,Yes,Yes
Other,58,55-64,DK/REF,DK/REF,Some college,,DK/REF,,Strongly Disapprove,Pro-life,Mostly Conservatives,A liar,,DK/REF,Very Likely,Gone down,DK/REF,5,No,230,Accurate,Yes,No,
Male,58,55-64,Republican,Moderate,Some college,,White,,Strongly Disapprove,Pro-life,Mix of conservatives and liberals,Unpresidential,,Oppose,Very Likely,Stayed the same,FALSE,999,No,260,Accurate,Yes,No,
Female,69,65+,Independent,Conservative,College degree,,White,,Somewhat Disapprove,Pro-life,Mix of conservatives and liberals,Arrogant,,DK/REF,Very Likely,Gone down,TRUE,2,No,160,Too high,Yes,No,
Female,56,55-64,Democrat,Moderate,Some college,,Black,,Strongly Disapprove,Pro-life,Mix of conservatives and liberals,Incompetent,,Oppose,Very Likely,Stayed the same,TRUE,3,No,230,Accurate,Yes,No,
Female,62,55-64,Democrat,Conservative,High school or less,,Black,,DK/REF,Pro-life,Mix of conservatives and liberals,He is a president in this country.,,DK/REF,DK/REF,Gone up,DK/REF,999,No,180,Accurate,No,No,
Female,56,55-64,Independent,Conservative,High school or less,,White,,Somewhat Disapprove,Pro-life,Mostly Liberals,Idiot,,Oppose,Somewhat Likely,Gone up,TRUE,999,No,180,Accurate,Yes,No,
Male,73,65+,Independent,Moderate,High school or less,,White,,Neither approve nor disapprove,Pro-life,Mostly Conservatives,Rich,,Support,Somewhat Likely,Stayed the same,DK/REF,3,No,260,Too low,Yes,DK/REF,
Female,48,45-54,DK/REF,Liberal,High school or less,,White,,Somewhat Disapprove,Pro-Choice,DK/REF,Millionaire,,Support,Somewhat Likely,Gone down,DK/REF,999,No,240,Accurate,Yes,No,
Female,73,65+,Republican,Conservative,High school or less,,White,,Strongly Approve,Pro-life,Mostly Conservatives,He is strong. He makes America stronger.,,Support,Not at all likely,Gone down,DK/REF,999,DK/REF,999,Too high,No,Yes,DK/REF
Female,76,65+,Republican,Moderate,Some college,,White,,Somewhat Approve,Pro-Choice,Mix of conservatives and liberals,He needs a haircut.,,Oppose,Somewhat Likely,Gone down,DK/REF,3,No,200,Accurate,No,Yes,No
Male,82,65+,Republican,Conservative,College degree,,White,,Somewhat Approve,Pro-life,Mostly Conservatives,Honest,,Support,Not at all likely,Gone down,DK/REF,3,No,999,Accurate,DK/REF,Yes,No
Male,44,35-44,Democrat,Moderate,College degree,,White,,Strongly Disapprove,Pro-life,Mix of conservatives and liberals,Liar,,Oppose,Very Likely,Stayed the same,TRUE,3,No,265,Too low,Yes,No,
Male,55,55-64,Republican,Conservative,College degree,,White,,Strongly Disapprove,Pro-life,Mix of conservatives and liberals,idiot,,Oppose,Very Likely,Gone down,FALSE,3,No,260,Too low,Yes,No,
Female,62,55-64,Independent,Moderate,Graduate degree,,White,,Somewhat Approve,Pro-life,Mix of conservatives and liberals,Freedom,,Support,Not at all likely,DK/REF,DK/REF,3,No,220,Accurate,Yes,Yes,DK/REF
Female,29,25-34,Independent,Moderate,College degree,,Asian,,Strongly Disapprove,DK/REF,Mix of conservatives and liberals,ISIS,,Oppose,Very Likely,Stayed the same,DK/REF,3,No,200,Accurate,Yes,No,
Female,40,35-44,Democrat,Moderate,Graduate degree,,Black,,Strongly Disapprove,Pro-life,Mostly Conservatives,crazy,,Oppose,Very Likely,Gone up,DK/REF,3,No,110,Accurate,No,No,
Male,44,35-44,DK/REF,DK/REF,College degree,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Death,,Oppose,Very Likely,Gone down,DK/REF,5,No,180,Accurate,Yes,No,
Female,43,35-44,Independent,Conservative,Some college,,White,,Somewhat Approve,Pro-life,Mostly Conservatives,trying hard,,Support,Somewhat Likely,Stayed the same,TRUE,999,No,999,Accurate,Yes,DK/REF,
Male,19,18-24,Democrat,Moderate,High school or less,,White,,Strongly Disapprove,DK/REF,Mostly Liberals,buffoon,,Oppose,Very Likely,Stayed the same,TRUE,3,No,220,Accurate,Yes,No,
Female,29,25-34,Democrat,Liberal,Graduate degree,,Black,,Strongly Disapprove,Pro-Choice,Mostly Liberals,Mess,,Oppose,Very Likely,Stayed the same,FALSE,3,No,230,Accurate,No,No,
Male,51,45-54,Democrat,Liberal,Graduate degree,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,criminal,,Oppose,Somewhat Likely,Stayed the same,FALSE,3,No,215,Accurate,Yes,No,
Female,80,65+,Republican,Moderate,College degree,,White,,Strongly Approve,Pro-life,Mix of conservatives and liberals,"Hardworking, good person",,Support,Not at all likely,Gone down,DK/REF,2,Yes,999,Too high,DK/REF,Yes,DK/REF
Female,52,45-54,Democrat,Moderate,Graduate degree,,Black,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Terrible,,Oppose,Very Likely,Stayed the same,FALSE,3,No,220,Too low,Yes,No,
Male,59,55-64,Democrat,Liberal,Graduate degree,,White,,Strongly Disapprove,Pro-Choice,Mostly Liberals,Impeach,,Oppose,Very Likely,Gone down,FALSE,999,No,230,Accurate,Yes,No,
Female,73,65+,Democrat,Moderate,High school or less,,White,,Strongly Disapprove,Pro-Choice,DK/REF,Liar,,Oppose,Very Likely,Stayed the same,FALSE,2,No,225,Accurate,Yes,No,
Male,33,25-34,Republican,Moderate,High school or less,,White,,Strongly Approve,Pro-life,Mostly Liberals,Strong leader,,Support,Not at all likely,Gone down,TRUE,2,Yes,210,Accurate,No,Yes,No
Male,70,65+,Republican,Conservative,College degree,,White,,Strongly Approve,Pro-life,Mostly Conservatives,Dynamic,,Support,Somewhat Likely,Gone up,TRUE,3,No,240,Accurate,Yes,Yes,No
Female,30,25-34,Independent,Moderate,College degree,,White,,Neither approve nor disapprove,Pro-Choice,Mix of conservatives and liberals,President of the US,,Support,DK/REF,Gone down,DK/REF,2,No,999,DK/REF,Yes,DK/REF,
